"","decomposedRes.x","decomposedRes.seasonal","decomposedRes.trend","decomposedRes.random"
"373",14.85,0.922686846452345,13.3571506849315,1.20492023769646
"374",15.25,0.941795444224519,13.3571780821918,1.21226772338933
"375",15.22,0.943152197355564,13.3562465753425,1.20822674068878
"376",15,0.941884704217411,13.3551232876712,1.19246492408091
"377",14.62,0.935984338261346,13.3538904109589,1.16969055468078
"378",14.63,0.92801537244608,13.352904109589,1.18062894266622
"379",14.56,0.919683997596033,13.3521917808219,1.18568734200089
"380",14.28,0.911395135198751,13.3523561643836,1.17344730810524
"381",14.33,0.900767374091997,13.3524383561644,1.19144215262631
"382",14.23,0.879547644053826,13.3527123287671,1.21164679477224
"383",14.1,0.869661316953825,13.3533698630137,1.2141660398668
"384",13.7,0.872873814859674,13.3545753424658,1.1752737039266
"385",13.7,0.887295089504681,13.3565753424658,1.15599876693338
"386",14.81,0.660739245286262,13.359397260274,1.67779189148533
"387",14.52,0.899294081201346,13.3615068493151,1.20839645533389
"388",14.74,0.902020269308176,13.3647397260274,1.22270216557918
"389",14.75,0.906600954377462,13.367698630137,1.21708021467873
"390",14.8,0.933091151612816,13.3704931506849,1.18628822170833
"391",14.87,0.935332780576962,13.372794520548,1.18883789946014
"392",15.45,0.942929668606952,13.374904109589,1.22506323331279
"393",15.69,0.967299573387674,13.3771506849315,1.21254629293892
"394",15.41,0.962061881748777,13.38,1.19713607347588
"395",15.26,0.96455953592788,13.3829863013699,1.18214965887612
"396",14.66,0.941761479062418,13.3866575342466,1.16284249606027
"397",14.7,0.966215548934114,13.3893150684932,1.13627892413856
"398",14.7,0.953607632177623,13.3925205479452,1.15102642743231
"399",14.75,0.97156044074251,13.3952602739726,1.13336824575782
"400",14.73,0.960229089648015,13.3974794520548,1.14499815968487
"401",14.73,0.976906255188717,13.3991506849315,1.1253110546836
"402",15.19,0.964907000793284,13.401095890411,1.17471361344559
"403",15.1,0.969367430186817,13.4031780821918,1.16219963746019
"404",15.12,0.969762181086578,13.4054794520548,1.16306556154251
"405",15.26,0.96629544272631,13.4072876712329,1.17788712431444
"406",15.3,0.948466665804279,13.4088767123288,1.20303139496853
"407",15.27,0.944591557071466,13.4105753424658,1.20544546428161
"408",14.89,0.939000657476695,13.411698630137,1.18234716786434
"409",14.86,0.934690542746401,13.4122465753425,1.18535771825074
"410",0,0.660496153611064,13.4126301369863,0
"411",14.6,0.963655174781254,13.413095890411,1.12954143951762
"412",14.69,0.967359271302408,13.4138904109589,1.13208554076047
"413",14.61,0.957294124124015,13.4144657534247,1.13770964966877
"414",14.45,0.964979322692603,13.4149589041096,1.11624748401946
"415",14.5,0.969112266401705,13.4149589041096,1.11533303318389
