0,prom_ap_cierre,tendencia
20120409,0.12095,-0.0007
20120410,0.12035,-0.00195
20120411,0.12222,-0.00285
20120412,0.12339,-0.00283
20120413,0.12137,-0.00206
20120416,0.11726,-0.00168
20120417,0.11552,-0.00109
20120418,0.11205,-0.00089
20120419,0.10985,-0.00135
20120420,0.1098,-0.00166
20120423,0.10825,-0.0014
20120424,0.10742,-0.00086
20120425,0.10658,-0.00077
20120426,0.10388,-0.00151
20120427,0.10174,-0.00243
20120430,0.10286,-0.002
20120501,0.10278,-0.00014
20120502,0.09953,0.00067
20120503,0.09584,-0.0002
20120504,0.09418,-0.00147
20120507,0.09545,-0.00275
20120508,0.09901,-0.00315
20120509,0.09676,-0.00369
20120510,0.0925,-0.00431
20120511,0.09136,-0.00388
20120514,0.08797,-0.00263
20120515,0.08328,-0.00085
20120516,0.07808,0.0001
20120517,0.07474,0.0
20120518,0.07286,-0.00053
20120521,0.07273,-0.00092
20120522,0.07482,-0.00065
20120523,0.07428,-0.00026
20120524,0.07242,-0.00017
20120525,0.07126,-0.00062
20120529,0.07174,-0.00072
20120530,0.07136,-0.00063
20120531,0.07105,-0.00064
20120601,0.07074,-0.00064
20120604,0.06896,-0.00118
20120605,0.06883,-0.00148
20120606,0.06883,-0.00147
20120607,0.06759,-0.0012
20120608,0.06637,-0.00053
20120611,0.06414,0.00016
20120612,0.06317,0.00088
20120613,0.06186,0.00113
20120614,0.06149,0.00077
20120615,0.06235,0.00018
20120618,0.06375,-0.00057
20120619,0.06514,-0.00085
20120620,0.06576,-0.00086
20120621,0.06522,-0.00046
20120622,0.0646,0.00023
20120625,0.06289,0.00027
20120626,0.06266,0.00022
20120627,0.06189,0.0
20120628,0.06282,0.00012
20120629,0.06398,0.0002
20120702,0.06297,-0.00011
20120703,0.06289,-0.00034
20120705,0.06382,-0.0003
20120706,0.06413,-0.00017
20120709,0.06336,0.0
20120710,0.06258,0.00023
20120711,0.06289,0.00061
20120712,0.06289,0.00106
20120713,0.06235,0.00098
20120716,0.06305,0.00021
20120717,0.06398,-0.00053
20120718,0.06514,-0.00065
20120719,0.06661,-0.0001
20120720,0.06661,0.00031
20120723,0.06429,0.0
20120724,0.06367,-0.00065
20120725,0.06483,-0.00098
20120726,0.06584,-0.00073
20120727,0.06475,-0.0003
20120730,0.06367,0.00013
20120731,0.06266,0.00029
20120801,0.06197,0.00021
20120802,0.06197,0.00024
20120803,0.06251,0.00017
20120806,0.06305,0.00028
20120807,0.06289,0.0005
20120808,0.06282,0.00032
20120809,0.06382,0.0001
20120810,0.06344,-0.00014
20120813,0.06398,-0.00059
20120814,0.06522,-0.0007
20120815,0.06452,-0.00085
20120816,0.06367,-0.00085
20120817,0.06406,-0.00042
20120820,0.06251,0.0
20120821,0.06158,0.00047
20120822,0.06065,0.00057
20120823,0.06074,0.0004
20120824,0.06081,0.0
20120827,0.06143,-0.00061
20120828,0.06267,-0.00053
20120829,0.06267,-0.00024
20120830,0.06221,-0.00015
20120831,0.0612,-0.0004
20120904,0.06035,-0.00077
20120905,0.06097,-0.00076
20120906,0.06113,-0.00035
20120907,0.06004,0.00015
20120910,0.05881,0.00027
20120911,0.05828,0.0
20120912,0.05822,-0.00031
20120913,0.0586,-0.00054
20120914,0.05938,-0.00029
20120917,0.05907,0.0
20120918,0.05814,0.0
20120919,0.05767,-0.00011
20120920,0.05737,-0.00036
20120921,0.058,-0.00039
20120924,0.058,-0.00038
20120925,0.05784,-0.00038
20120926,0.05691,-0.00044
20120927,0.05676,-0.00029
20120928,0.05661,0.00028
20121001,0.05607,0.00068
20121002,0.05538,0.00047
20121003,0.05516,-0.0002
20121004,0.05563,-0.00081
20121005,0.05733,-0.00077
20121008,0.05772,-0.00034
20121009,0.05648,0.0
20121010,0.05508,0.0002
20121011,0.05462,0.00025
20121012,0.05478,0.0
20121015,0.05494,-0.00033
20121016,0.05525,-0.00056
20121017,0.0554,-0.00077
20121018,0.05579,-0.00055
20121019,0.05439,-0.00054
20121022,0.05409,-0.00039
20121023,0.05347,0.0
20121024,0.0524,0.0
20121025,0.05249,0.00013
20121026,0.05187,0.0
20121031,0.0518,-0.00018
20121101,0.05265,-0.00025
20121102,0.05227,-0.00037
20121105,0.05227,-0.00049
20121106,0.05219,-0.00063
20121107,0.0518,-0.00055
20121108,0.05126,-0.00025
20121109,0.05088,0.0
20121112,0.05019,0.00048
20121113,0.04919,0.00023
20121114,0.04936,-0.0001
20121115,0.05006,-0.00027
20121116,0.05021,-0.00041
20121119,0.05114,-0.00038
20121120,0.04998,-0.00056
20121121,0.04967,-0.0006
20121123,0.04959,-0.00036
20121126,0.04928,0.0
20121127,0.04828,0.0
20121128,0.04752,0.0
20121129,0.04745,0.0
20121130,0.04791,0.00023
20121203,0.04761,0.0
20121204,0.04761,0.0
20121205,0.04776,0.0
20121206,0.04807,0.00024
20121207,0.04853,0.00055
20121210,0.04737,0.00052
20121211,0.04776,0.00084
20121212,0.04838,0.00115
20121213,0.04923,0.00136
20121214,0.04939,0.00052
20121217,0.04985,-0.00077
20121218,0.05225,-0.00083
20121219,0.05357,-0.00036
20121220,0.05435,0.00046
20121221,0.0514,0.00069
20121224,0.04947,0.00035
20121226,0.05187,0.00052
20121227,0.05233,0.00092
20121228,0.05225,0.00125
20121231,0.05272,0.00114
20130102,0.05342,0.00077
20130103,0.05435,0.00077
20130104,0.05605,0.00095
20130107,0.05768,0.00077
20130108,0.05744,0.0
