fecha,apertura,maximo,minimo,ultima
20151019,245.00,246.00,240.20,241.90
20151016,240.50,250.00,240.10,248.00
20151015,245.00,247.50,236.00,246.00
20151014,245.50,250.50,242.00,245.00
20151013,254.00,258.50,242.80,244.00
20151009,274.00,274.00,263.00,264.00
20151008,265.80,276.00,253.00,271.00
20151007,259.00,265.00,254.00,263.90
20151006,240.00,256.50,238.00,246.00
20151005,225.00,241.45,222.00,233.50
20151002,205.00,221.00,205.00,219.50
20151001,219.00,219.00,207.00,207.00
20150930,213.00,215.00,209.00,214.00
20150929,214.00,215.00,209.00,211.50
20150928,219.90,219.90,209.00,209.00
20150925,223.00,228.50,213.00,227.00
20150924,228.75,228.75,201.00,219.00
20150923,244.00,244.00,227.00,231.50
20150922,250.00,254.00,232.20,241.00
20150921,280.00,280.00,255.00,258.00
20150918,283.00,290.00,273.80,276.50
20150917,291.00,298.50,286.00,290.00
20150916,288.00,292.00,286.00,286.00
20150915,293.00,297.00,285.00,285.00
20150914,300.00,304.00,293.00,293.00
20150911,305.15,311.00,304.00,307.00
20150910,308.20,311.50,302.00,309.75
20150909,312.00,314.00,307.00,308.00
20150908,300.00,308.00,300.00,308.00
20150907,305.00,306.50,300.50,302.50
20150904,300.00,305.00,298.00,305.00
20150903,299.00,306.00,299.00,301.00
20150902,292.85,299.00,288.00,297.00
20150901,299.00,300.00,289.00,293.00
20150831,287.00,299.50,282.00,298.00
20150828,286.00,307.00,286.00,288.00
20150827,279.00,290.00,276.00,288.00
20150826,270.00,279.00,265.50,273.50
20150825,280.00,285.00,263.00,265.00
20150824,285.00,285.00,273.00,276.00
20150821,300.00,302.00,295.00,297.00
20150820,312.00,312.00,304.00,305.95
20150819,311.00,317.00,309.00,314.00
20150818,321.95,322.75,319.00,322.00
20150814,332.00,332.75,322.00,322.00
20150813,323.25,333.00,323.25,332.80
20150812,328.00,335.00,327.50,328.75
20150811,324.00,337.00,320.00,336.00
20150810,315.00,333.00,315.00,332.45
20150807,316.00,316.90,313.00,313.80
20150806,310.00,317.90,303.55,316.50
20150805,306.00,311.00,300.00,308.00
20150804,302.10,307.00,298.50,300.90
20150803,306.00,306.00,301.60,302.00
20150731,310.00,312.00,304.50,305.50
20150730,316.90,316.90,305.50,309.50
20150729,307.00,318.00,305.00,316.00
20150728,301.00,310.00,298.00,305.00
20150727,315.00,316.00,303.50,308.00
20150724,330.00,330.00,314.00,317.00
20150723,335.00,335.00,327.25,329.15
20150722,336.00,336.00,327.00,335.00
20150721,333.90,341.00,331.00,335.00
20150720,341.25,345.00,332.00,334.00
20150717,342.00,342.50,335.50,341.50
20150716,349.00,349.50,340.10,340.20
20150715,351.50,353.50,341.10,344.00
20150714,336.00,355.00,336.00,351.70
20150713,340.00,344.00,334.50,336.95
20150710,340.00,344.00,336.00,338.00
20150708,352.00,352.00,337.70,338.90
20150707,354.00,354.00,338.00,351.95
20150706,354.00,362.00,350.00,356.50
20150703,361.00,361.50,356.00,356.00
20150702,355.50,363.50,355.50,361.00
20150701,352.00,363.00,352.00,355.75
20150630,340.00,355.00,340.00,353.00
20150629,338.00,342.00,338.00,341.00
20150626,348.00,349.00,343.20,345.40
20150625,346.00,352.50,346.00,348.15
20150624,344.00,349.00,344.00,346.00
20150623,346.00,347.00,339.00,344.25
20150622,329.00,346.00,329.00,345.50
20150619,326.00,332.00,326.00,328.50
20150618,317.10,330.50,317.10,327.00
20150617,322.00,324.90,315.00,321.00
20150616,333.00,333.00,326.00,328.00
20150615,330.00,336.00,330.00,333.00
20150612,340.00,340.00,335.00,337.00
20150611,339.00,339.00,335.00,338.00
20150610,342.75,342.75,336.50,338.00
20150609,336.00,339.00,335.00,339.00
20150608,335.00,338.00,333.70,334.50
20150605,333.00,335.00,330.00,334.00
20150604,333.95,335.50,330.00,332.50
20150603,335.40,335.50,326.00,328.00
20150602,323.80,335.80,321.00,335.80
20150601,325.95,325.95,320.00,323.80
20150529,325.00,330.00,325.00,326.00
20150528,323.00,330.00,321.00,324.00
20150527,328.00,330.00,323.00,323.00
20150526,335.45,335.45,320.00,323.90
20150522,338.00,340.00,332.00,335.45
20150521,346.00,348.00,340.00,340.00
20150520,342.00,349.00,342.00,345.50
20150519,349.95,351.00,344.00,346.50
20150518,360.00,360.00,345.00,352.40
20150515,360.00,361.50,358.10,361.45
20150514,363.00,365.00,361.95,364.00
20150513,371.00,374.00,360.00,362.00
20150512,358.00,370.00,358.00,369.50
